code,itemName,sourceCategory,netStock,positiveNetStock,negativeNetStock,classification,classificationReason,rosterAlias
PU-5TB,THREADED PIPE SCH 80 40 MM,UPVC PIPE FG,10,10,0,c,not present under normalized code in effective September roster,
CH90F,25 MM FULL TURN CONCEALED VALVE VIVA,CPVC FG,32,32,0,c,not present under normalized code in effective September roster,
AS-249,110MM COUPLER4 KG/CM2,AGRI FG,548,548,0,c,not present under normalized code in effective September roster,
AS-348,AGRI EQUAL TEE 90,AGRI-FG,-128,0,-128,c,not present under normalized code in effective September roster,
MHC-10,MANHOLE COVER 770 X 770,Trading,89,89,0,a,unplanned division/category,
MHC-09,MANHOLE COVER 720 X 720,Trading,55,55,0,a,unplanned division/category,
MHC-08,MANHOLE COVER 600 X 600,Trading,-160,0,-160,a,unplanned division/category,
MHC-07,MANHOLE COVER 535 X 535,Trading,37,37,0,a,unplanned division/category,
MHC-06,MANHOLE COVER 450 X 600,Trading,-61,0,-61,a,unplanned division/category,
MHC-05,MANHOLE COVER 450 X 450,Trading,-73,0,-73,a,unplanned division/category,
MHC-04,MANHOLE COVER 300 X 450,Trading,41,41,0,a,unplanned division/category,
MHC-03,MANHOLE COVER 380 X 380,Trading,-66,0,-66,a,unplanned division/category,
MHC-02,MANHOLE COVER 300 X 300,Trading,-173,0,-173,a,unplanned division/category,
AS-248,90MM COUPLER4 KG/CM2,AGRI FG,75,75,0,c,not present under normalized code in effective September roster,
PB125,COLUMN PIPE 25 MM 10 KG/CM2,Colum Pipe,20,20,0,a,unplanned division/category,
PB225,COLUMN PIPE 25 MM 12.5 KG/CM2,Colum Pipe,900,900,0,a,unplanned division/category,
PB132,COLUMN PIPE 32 MM 10 KG/CM3,Colum Pipe,30,30,0,a,unplanned division/category,
PB232,COLUMN PIPE 32 MM 12.5 KG/CM3,Colum Pipe,165,165,0,a,unplanned division/category,
PB332,COLUMN PIPE 32 MM 15 KG/CM3,Colum Pipe,700,700,0,a,unplanned division/category,
5793,MULTIFLOOR TRAPE 110X75X50 MM WITH COVER,SWR FG,-356,0,-356,c,not present under normalized code in effective September roster,
PN28C,90MM AGRI PIPE NON ISI PN4,AGRI-PIPE,166,166,0,c,not present under normalized code in effective September roster,
PN48C,90MM AGRI PIPE NON ISI PN6,AGRI-PIPE,187,187,0,c,not present under normalized code in effective September roster,
PN29C,110MM AGRI PIPE NON ISI PN4,AGRI-PIPE,-307,0,-307,c,not present under normalized code in effective September roster,
PN49C,110MM AGRI PIPE NON ISI PN6,AGRI-PIPE,-398,0,-398,c,not present under normalized code in effective September roster,
PN32C,160MM AGRI PIPE NON ISI PN4,AGRI-PIPE,58,58,0,c,not present under normalized code in effective September roster,
CH86F,25 MM FULL TURN CONCEALED VALVE MACASA,CPVC FG,105,105,0,c,not present under normalized code in effective September roster,
PB232B,COLUMN BILLING PIPE 32 MM 12.5 KG/CM3,Colum Pipe,5,5,0,a,unplanned division/category,
AS-442,AGRI ELBOW 90? 160,AGRI FG,120,120,0,c,not present under normalized code in effective September roster,
AS-246,AGRI COUPLER PN-6 63,AGRI FG,478,478,0,c,not present under normalized code in effective September roster,
AS-549,AGRI END CAP 110,AGRI FG,-75,0,-75,c,not present under normalized code in effective September roster,
AS-242,AGRI COUPLER PN-10160,AGRI FG,154,154,0,c,not present under normalized code in effective September roster,
PN52C,160MM AGRI PIPE NON ISI PN6,AGRI FG,-5,0,-5,c,not present under normalized code in effective September roster,
AS-443,AGRI ELBOW 90? 200,AGRI FG,32,32,0,c,not present under normalized code in effective September roster,
5706,75MM SOCKET PLUG,SWR FG,3772,3772,0,c,not present under normalized code in effective September roster,
5106,110MM SOCKET PLUG,SWR FG,-774,0,-774,c,not present under normalized code in effective September roster,
5606,160MM SOCKET PLUG,SWR FG,-777,0,-777,c,not present under normalized code in effective September roster,
AS-342,160MM EQUAL TEE4 KG/CM2(PN-6),AGRI FG,60,60,0,c,not present under normalized code in effective September roster,
U29 L,"4"" BALL VALVE (long handle)",UPVC -FG,7,7,0,c,not present under normalized code in effective September roster,
4763,110X63 MMNAHANI TRAP WITH JALI,SWR FG,26,26,0,c,not present under normalized code in effective September roster,
4507,63 MM BACK FLOW VALVE,SWR FG,-20,0,-20,c,not present under normalized code in effective September roster,
5707,75 MM BACK FLOW VALVE,Trading,90,90,0,a,unplanned division/category,
5907,90 MM BACK FLOW VALVE,Trading,812,812,0,a,unplanned division/category,
5107,110 MM BACK FLOW VALVE,Trading,-953,0,-953,a,unplanned division/category,
5607,160 MM BACK FLOW VALVE,Trading,252,252,0,a,unplanned division/category,
A-213,32 MM COUPLER 10 KG/CM2,AGRI FG,2600,2600,0,c,not present under normalized code in effective September roster,
A-214,40 MM COUPLER 10 KG/CM2,AGRI FG,1200,1200,0,c,not present under normalized code in effective September roster,
A-411,20 MM ELBOW 10 KG/CM2,AGRI FG,1700,1700,0,c,not present under normalized code in effective September roster,
A-413,32 MM ELBOW 10 KG/CM2,AGRI FG,-21,0,-21,c,not present under normalized code in effective September roster,
A-313,32 MMTEE 10 KG/CM2,AGRI FG,400,400,0,c,not present under normalized code in effective September roster,
A-513,32 MM 45* ELBOW 10 KG/CM2,AGRI FG,3200,3200,0,c,not present under normalized code in effective September roster,
A-711,20X25 MM REDUCER BUSH 4 KG/CM2,AGRI FG,2300,2300,0,c,not present under normalized code in effective September roster,
A-712,20X32 MMREDUCER BUSH 4 KG/CM2,AGRI FG,1100,1100,0,c,not present under normalized code in effective September roster,
A-713,20X40 MMREDUCER BUSH 4 KG/CM2,AGRI FG,800,800,0,c,not present under normalized code in effective September roster,
A-714,20X50 MMREDUCER BUSH 4 KG/CM2,AGRI FG,480,480,0,c,not present under normalized code in effective September roster,
A-715,25X32 MMREDUCER BUSH 4 KG/CM2,AGRI FG,600,600,0,c,not present under normalized code in effective September roster,
A-717,25X50 MMREDUCER BUSH 4 KG/CM2,AGRI FG,480,480,0,c,not present under normalized code in effective September roster,
A-719,32X50 MMREDUCER BUSH 4 KG/CM2,AGRI FG,400,400,0,c,not present under normalized code in effective September roster,
A-721,50X63 MMREDUCER BUSH 4 KG/CM2,AGRI FG,10,10,0,c,not present under normalized code in effective September roster,
4763W,110X63 MMNAHANI TRAP WITHOUT JALI,SWR FG,528,528,0,c,not present under normalized code in effective September roster,
A-419,REDUCER ELBOW 4KG 110X90,AGRI FG,-265,0,-265,c,not present under normalized code in effective September roster,
A-509,ELBOW 45- 4 KG 90MM AGRI,AGRI FG,824,824,0,c,not present under normalized code in effective September roster,
A-510,ELBOW 45- 4 KG 110MM AGRI,AGRI FG,750,750,0,c,not present under normalized code in effective September roster,
A-311,20 MM EQUAL TEE  AGRI-(10 KG),AGRI FG,300,300,0,c,not present under normalized code in effective September roster,
A-211,20 MM COUPLER AGRI-(10 KG),AGRI FG,950,950,0,c,not present under normalized code in effective September roster,
A-412,25 MM ELBOW 90 AGRI-(10 KG),AGRI FG,2500,2500,0,c,not present under normalized code in effective September roster,
A-312,25 MM EQUAL TEE  AGRI-(10 KG),AGRI FG,550,550,0,c,not present under normalized code in effective September roster,
A-511,20 MM ELBOW 45  AGRI-(10 KG),AGRI FG,500,500,0,c,not present under normalized code in effective September roster,
A-512,45° ELBOW 10kg/cm² 25MM,AGRI FG,900,900,0,c,not present under normalized code in effective September roster,
A-720,32X40 MM AGRI REDUCER BUSH 4 KG/CM2,AGRI FG,100,100,0,c,not present under normalized code in effective September roster,
A-718,32X40 MM AGRI REDUCER BUSH 4 KG/CM2,AGRI FG,400,400,0,c,not present under normalized code in effective September roster,
A-212,25 MM COUPLER AGRI-(10 KG),AGRI FG,4600,4600,0,c,not present under normalized code in effective September roster,
A-514,45° ELBOW 10kg/cm² 40MM,AGRI FG,1732,1732,0,c,not present under normalized code in effective September roster,
A-515,50° ELBOW 10kg/cm² 40MM,AGRI FG,-100,0,-100,c,not present under normalized code in effective September roster,
C134,32 mm Non Return Valve,cpvc fg,-100,0,-100,c,not present under normalized code in effective September roster,
UH88-L,"1"" UPVC  URBONA CONCEALED VALVE Q/T",UPVC FITTING,-320,0,-320,c,not present under normalized code in effective September roster,
A-417,110X75 MM Red. ELBOW 10 KG/CM2,AGRI FG,515,515,0,c,not present under normalized code in effective September roster,
AS-247,AGRI COUPLER PN-6 75,AGRI FG,880,880,0,c,not present under normalized code in effective September roster,
PP42,Coupler 20 MM PPR FITTINGS (White Single Layer),PPR Fittimg,2383,2383,0,a,unplanned division/category,
PP54,Elbow 90 32 MM PPR FITTINGS (White Single Layer),PPR Fittimg,5515,5515,0,a,unplanned division/category,
PP44,Coupler 32 MM PPR FITTINGS (White Single Layer),PPR Fittimg,2800,2800,0,a,unplanned division/category,
PP64,Equal Tee 32 MM PPR FITTINGS (White Single Layer),PPR Fittimg,5715,5715,0,a,unplanned division/category,
PP43,Coupler 25 MM PPR FITTINGS (White Single Layer),PPR Fittimg,1740,1740,0,a,unplanned division/category,
PP63,Equal Tee 25 MM PPR FITTINGS (White Single Layer),PPR Fittimg,6017,6017,0,a,unplanned division/category,
PP53,Elbow 90 25 MM PPR FITTINGS (White Single Layer),PPR Fittimg,10145,10145,0,a,unplanned division/category,
PP323,Brass Tee 25x15 MM PPR FITTINGS (White Single Layer),PPR Fittimg,518,518,0,a,unplanned division/category,
PP303,25x15mm male  brass tee,PPR Fittimg,525,525,0,a,unplanned division/category,
WT-3LC-05 R,Water Tank 3 layer Colour 500 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
WT-3LC-05 G,Water Tank 3 layer Colour 500 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
WT-3LC-07 G,Water Tank 3 layer Colour  750 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
WT-3LC-10 G,Water Tank 3 layer Colour  1000 Ltr.,WATER TANK,1,1,0,a,unplanned division/category,
WT-3LC-15 G,Water Tank 3 layer Colour  1500 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
WT-3LC-05 B,Water Tank 3 layer Colour 500 Ltr.,WATER TANK,5,5,0,a,unplanned division/category,
WT-3LC-15 B,Water Tank 3 layer Colour  1500 Ltr.,WATER TANK,1,1,0,a,unplanned division/category,
WT-3LC-05 LB,Water Tank 3 layer Colour 500 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
WT-3LC-05 O,Water Tank 3 layer Colour 500 Ltr.,WATER TANK,2,2,0,a,unplanned division/category,
WT-3LC-10 O,Water Tank 3 layer Colour  1000 Ltr.,WATER TANK,1,1,0,a,unplanned division/category,
WT-4LC-05 Y,Water Tank 4 layer Colour 500 Ltr.,WATER TANK,1,1,0,a,unplanned division/category,
WT-4LC-07 Y,Water Tank 4 layer Colour  750 Ltr.,WATER TANK,1,1,0,a,unplanned division/category,
WCT-3LL-05,WATER COOL TANK 3 LAYER LIGHT 500 LTR.,WATER TANK,-270,0,-270,a,unplanned division/category,
WCT-3LL-07,WATER COOL TANK 3 LAYER LIGHT 750 LTR.,WATER TANK,-38,0,-38,a,unplanned division/category,
WCT-3LL-10,WATER COOL TANK 3 LAYER LIGHT 1000 LTR.,WATER TANK,-177,0,-177,a,unplanned division/category,
C521S,"3/4""x1/2"" 90⁰ BRASS ELBOW (New)",CPVC FITTING,-300,0,-300,c,not present under normalized code in effective September roster,
WCT-3LL-05 B,WATER COOL TANK 3 LAYER LIGHT 500 LTR.,WATER TANK,80,80,0,a,unplanned division/category,
WCT-3LL-07 B,WATER COOL TANK 3 LAYER LIGHT 750 LTR.,WATER TANK,23,23,0,a,unplanned division/category,
WCT-3LL-10 B,WATER COOL TANK 3 LAYER LIGHT 1000 LTR.,WATER TANK,19,19,0,a,unplanned division/category,
WCT-3LL-05 Y,WATER COOL TANK 3 LAYER LIGHT 500 LTR.,WATER TANK,-2,0,-2,a,unplanned division/category,
WCT-3LL-07 Y,WATER COOL TANK 3 LAYER LIGHT 750 LTR.,WATER TANK,-5,0,-5,a,unplanned division/category,
C135,40 MM Non Return Valve,cpvc fg,-45,0,-45,c,not present under normalized code in effective September roster,
WCT-3LL-07 G,WATER COOL TANK 3 LAYER LIGHT 750 LTR.,WATER TANK,1,1,0,a,unplanned division/category,
WCT-3LL-10 G,WATER COOL TANK 3 LAYER LIGHT 1000 LTR.,WATER TANK,2,2,0,a,unplanned division/category,
WCT-3LL-05 GD,WATER COOL TANK 3 LAYER LIGHT 500 LTR.,WATER TANK,16,16,0,a,unplanned division/category,
WCT-3LL-07 GD,WATER COOL TANK 3 LAYER LIGHT 750 LTR.,WATER TANK,8,8,0,a,unplanned division/category,
WCT-3LL-10 GD,WATER COOL TANK 3 LAYER LIGHT 1000 LTR.,WATER TANK,4,4,0,a,unplanned division/category,
WCT-3LL-07 PG,WATER COOL TANK 3 LAYER LIGHT 750 LTR.,WATER TANK,1,1,0,a,unplanned division/category,
WCT-3LL-10 P,WATER COOL TANK 3 LAYER LIGHT 1000 LTR.,WATER TANK,1,1,0,a,unplanned division/category,
PP523,Brass Elbow 90 25x15 MM PPR FITTINGS (White Single Layer),PPR Fittimg,515,515,0,a,unplanned division/category,
PP513,Male Brass Elbow 90 25x15 MM PPR FITTINGS (White Single Layer),PPR Fittimg,538,538,0,a,unplanned division/category,
PP413,"25""x1/2"" Female brass coupling",PPR Fittimg,409,409,0,a,unplanned division/category,
PP403,"25""x1/2"" Male brass coupling",PPR Fittimg,435,435,0,a,unplanned division/category,
